	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
ALKBH3	70.138077	29.245913	80.048767	47.401066	65.641487	6.746420	51.261536	47.288403	45.554489	74.209587	98.976128	98.796616	105.583084	81.547913	85.246826	48.149052	137.458847	40.710896	45.785370	10.590935	8.009218	10.792078
ALKBH3-AS1	0.056136	0.092269	0.168530	0.035537	0.099422	0.409739	0.046074	0.077597	11.719483	0.084915	0.057632	0.055738	0.050338	0.279689	0.099040	0.064493	0.280946	0.095651	0.132987	0.408362	0.305394	0.243480
ALKBH4	7.159838	12.441039	37.581306	16.161472	20.082558	4.333171	8.924898	15.122413	18.776031	21.080912	23.154745	24.518316	60.146465	4.781020	25.591608	10.280890	22.235403	11.399353	14.106962	3.333293	3.244641	4.045697
ALKBH5	21.513948	16.537176	43.262947	29.106796	55.112289	4.306263	33.472385	23.733471	41.430275	31.642265	69.583435	26.152664	62.679642	11.773908	26.345896	53.649849	52.251545	19.826214	66.938286	5.003497	4.420855	5.620247
ALKBH6	45.616570	61.696468	55.635223	55.567108	65.363098	5.302052	73.800140	42.998692	40.082607	84.694901	92.921402	80.107269	53.685650	76.011703	51.988205	42.586308	35.773693	23.232433	41.588028	10.421996	8.262067	9.945415
ALKBH7	83.987129	83.249298	82.337700	88.669052	43.011959	5.856906	68.003403	66.710709	114.901123	93.864655	130.111343	139.076584	134.700424	123.193108	125.233940	106.962799	106.189125	89.514740	117.012802	15.444029	10.933773	14.024017
ALKBH8	18.628189	47.346046	17.331451	19.469612	47.105659	3.191756	16.806871	23.015656	35.155869	28.233263	2.474760	29.856764	46.954689	24.247475	37.953079	40.012497	11.316679	3.363055	7.813421	6.019726	7.337918	7.849356
ALLC	0.023684	0.025473	0.024379	0.023733	0.024559	0.277757	0.026942	0.024792	0.022409	0.021434	0.025037	0.020378	0.021566	0.023490	0.024512	0.018389	0.026451	0.022870	0.025323	0.117318	0.133569	0.114515
ALMS1	7.665385	24.386520	2.441675	4.499117	18.321903	0.829343	64.328751	3.494178	10.839311	40.942745	9.630765	3.710876	1.824341	3.979685	4.910557	20.756626	4.259757	26.870588	1.807659	3.847896	2.906978	3.325366
ALMS1-IT1	0.916622	0.401673	1.023534	16.850031	9.292069	0.999320	1.200756	0.791685	0.451671	1.816743	0.165293	0.895332	0.100712	4.137656	1.115711	0.444305	0.283607	0.342631	0.219631	1.034178	1.997536	1.170311
ALOX12	12.414703	21.049568	3.181792	7.923668	28.097824	1.032735	3.847338	4.567989	4.436482	17.169739	22.717218	6.957856	34.850410	14.032988	12.436878	18.525045	1.669348	10.417673	31.030500	5.031232	4.449606	4.132700
ALOX12-AS1	7.077758	13.902308	2.746994	9.243083	1.437774	2.786045	4.517858	11.179296	4.885064	3.242692	1.713098	6.051871	3.724239	9.856830	2.054611	6.098804	19.845543	6.980704	0.594416	2.565585	2.174695	2.382275
ALOX12P2	5.991876	1.632445	8.745852	0.895277	0.971061	0.478037	0.242321	0.734181	2.523498	1.556826	2.264537	0.927231	1.369972	9.982087	0.692169	1.010681	0.929739	17.666245	2.595933	3.755669	2.078986	1.915329
ALOX5	2.413182	10.463182	4.905127	14.062334	7.006461	1.937739	9.503637	5.657274	26.407978	6.875849	6.600563	24.908758	17.720379	3.919728	4.300401	23.856590	72.047882	37.490189	9.774233	2.115915	1.425364	2.149334
ALPK1	25.574596	50.960327	26.396320	23.520916	80.877083	4.638131	21.825575	34.191021	17.371414	49.069180	41.096279	57.830074	16.024094	21.371162	26.206892	9.296255	38.363407	5.549927	6.111982	4.720701	4.975390	6.047202
ALPK2	1.586679	0.011586	0.034914	0.013851	0.030719	0.352890	0.040976	0.019926	0.012464	0.020514	0.056485	0.014739	0.029364	0.019376	0.017579	0.012678	0.010751	0.016004	0.040156	0.228265	0.332966	0.272656
ALS2	21.718891	35.263783	56.328514	35.282955	15.023665	3.263203	31.330095	25.343071	60.543613	40.558136	39.004776	42.440037	17.537664	42.402359	105.693504	56.246628	23.867729	30.285913	83.411339	9.391302	7.584100	9.758555
ALS2CR12	0.118687	0.100864	0.068199	0.035646	0.049338	0.235668	0.032279	0.033904	0.102163	0.082404	0.475827	0.058682	1.307772	0.059396	0.078174	0.054109	0.074662	0.138510	16.533068	0.304543	0.175893	0.163971
ALX1	2.915110	12.226323	18.623716	11.660524	4.927472	2.323805	14.509193	6.110358	12.943616	21.947124	2.188827	7.177013	0.952974	16.265224	13.895789	11.705183	3.911693	3.907341	0.522247	4.504624	4.102808	4.886767
ALX3	0.012646	0.029394	0.020679	0.018188	0.011778	0.212806	0.025036	0.013431	0.016520	0.034227	0.022734	0.025552	0.029686	0.022937	0.023574	0.596884	0.022998	0.024372	0.012459	0.124291	0.122507	0.204362
ALYREF	13.213263	31.347347	32.280560	64.077072	36.526516	4.180379	56.294495	27.830978	40.948380	37.730995	56.884846	40.256386	43.350990	63.975376	63.161064	36.651699	45.613785	34.822041	48.752266	7.857469	6.046525	6.380882
AMACR	4.425675	7.210823	2.470745	4.416775	36.029652	0.486644	2.748610	1.746745	11.982015	15.301598	1.996621	22.292673	2.156453	38.866722	3.113067	6.169850	6.046641	21.082279	1.150545	3.705633	2.896195	3.294556
AMBRA1	6.721579	10.261418	10.819226	15.073350	4.247439	3.142916	18.680794	3.638587	16.749956	22.758289	16.168915	1.334947	7.331664	8.133723	11.208973	14.594197	8.528858	10.933400	5.823723	5.143822	3.314867	3.237939
AMD1	307.139526	365.147339	324.277924	369.620239	410.646240	6.463329	379.203552	426.235382	337.302795	417.504791	230.087662	336.397369	278.080505	387.115479	363.986816	360.622498	354.334259	473.304321	252.346390	28.108820	23.602043	26.270308
AMDHD2	6.000620	5.925539	10.484448	22.728031	10.421017	2.889600	20.380991	16.847347	38.374584	33.519318	33.814953	21.971014	16.266783	22.821491	16.008970	27.074945	22.550570	23.283714	13.734065	4.386749	2.878939	3.620353
AMELX	0.022797	0.060772	0.057164	0.036301	0.026864	0.152471	0.016349	0.007172	0.065776	0.053605	0.009618	0.033670	0.025599	2.160174	0.051603	0.349370	0.021859	0.055105	0.020406	0.636370	0.360969	0.407687
AMER1	5.841910	0.037194	0.057599	0.054304	0.192428	0.932677	0.170584	0.090134	0.026655	0.067712	0.097691	0.034275	0.044535	0.060475	0.677598	0.038264	0.040617	0.019343	0.078767	0.487219	1.258895	0.837165
AMFR	58.347237	37.379276	39.545742	66.798279	68.378342	3.812060	70.320152	24.915298	88.904915	63.151970	55.469158	99.761490	100.346313	67.626228	104.983063	65.616730	20.245098	86.437256	87.483215	13.917858	11.787423	12.614040
AMH	0.689564	5.908331	0.316171	0.753119	0.383936	1.964452	10.584721	2.433939	1.869111	2.224981	0.220809	1.852784	0.906491	2.573050	4.910537	0.585835	3.354660	2.753381	0.242473	1.720691	1.188454	1.035473
AMHR2	92.362320	62.599056	129.018188	65.006897	115.607712	4.622624	98.544289	49.309410	139.179611	161.060028	152.503326	97.684578	128.523346	159.389755	68.563110	164.256378	96.656700	60.702778	172.894958	16.167200	10.247952	14.153338
AMIGO1	3.848724	0.012904	0.044239	0.026624	0.076587	0.401719	0.092976	0.029005	0.015844	0.035372	0.077679	0.026534	0.035421	0.030387	0.024695	0.017538	0.013699	0.019209	0.056975	0.293022	0.485374	0.377546
AMIGO2	191.121735	82.776436	115.241974	102.505081	179.321350	4.587146	95.127464	44.528694	119.648048	89.563889	123.838387	116.982338	136.500916	140.484070	78.856972	118.137779	193.976196	117.149467	125.609940	17.273487	13.094893	16.006067
AMIGO3	0.131054	0.257103	6.201822	2.529741	0.145023	1.626174	2.529258	0.801628	0.394526	1.129020	0.182388	0.279855	0.839444	0.178390	0.238543	0.413306	3.259452	0.232101	0.159500	0.467156	0.347544	0.430126
AMMECR1	19.534737	26.272800	33.478569	16.546415	6.985989	5.113706	9.164108	4.419657	37.736664	5.129206	28.204449	15.110062	37.753845	76.246429	73.133385	17.804522	79.321625	30.219965	35.024254	11.461078	6.336591	7.235115
AMMECR1L	13.567788	44.661522	6.953222	49.045753	20.229286	1.845114	12.403866	5.621832	5.035404	9.878508	13.649879	18.753757	20.801132	10.269117	38.096153	16.946211	17.359079	63.075439	19.277527	4.754271	5.262433	4.933376
AMN1	110.339424	122.889839	77.437790	163.265930	129.833450	4.391644	102.102142	85.714310	84.753601	85.142464	103.962929	156.509735	74.988739	140.365021	141.621689	120.995224	121.071983	190.392883	127.760544	15.602651	14.400821	15.638436
AMOTL1	43.650982	43.068623	15.810055	51.198925	46.550934	3.862414	39.849663	148.056137	104.137375	47.631615	60.376286	76.366318	102.120399	11.547273	29.279316	78.787254	24.654799	65.431580	59.284809	5.140500	5.915999	6.262486
AMPD2	33.751759	41.388145	47.945625	4.321700	27.834627	3.091738	23.644674	23.140331	63.282223	28.826063	49.919838	30.362036	16.358974	67.533875	31.070276	8.314915	13.751483	16.064043	65.604065	10.760309	6.817006	7.128123
AMPD3	15.146091	15.199060	20.873707	27.992340	26.487921	3.971877	19.533985	17.133606	17.180475	15.549431	8.930434	67.691078	21.219360	13.022403	44.831608	10.237224	14.895652	8.012973	29.961838	4.329707	4.831157	5.528723
