gene_id	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
ABL1	6.49	4.62	6.19	6.22	6.42	95.08	6.72	9.51	5.39	4.03	4.21	5.91	5.39	4.55	6.43	6.13	4.79	8.80	6.85	12.60	1.11	1.25
ABL2	1.11	2.27	0.72	1.67	1.16	0.00	0.13	2.99	1.92	1.06	1.29	1.45	1.09	1.47	0.26	2.17	0.92	1.51	0.19	1.08	0.98	0.93
ABLIM1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABLIM2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABLIM3	0.41	2.38	0.79	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.40
ABO	0.44	2.85	1.64	0.24	0.30	0.00	0.00	2.61	2.33	0.00	0.62	2.62	2.08	0.00	0.00	0.54	0.00	0.00	1.95	0.40	0.59	0.54
ABR	0.09	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00
ABRA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABRACL	7.87	2.26	22.06	10.46	6.56	0.00	44.54	34.64	33.13	19.99	13.59	25.21	34.82	24.23	29.26	26.61	24.13	24.10	36.75	3.56	12.81	7.02
ABRAXAS1	18.94	8.40	13.47	8.45	20.58	0.00	46.93	23.29	10.07	12.54	18.23	12.71	5.13	20.87	14.05	8.58	10.86	19.73	17.56	21.49	16.43	18.46
ABRAXAS2	8.35	8.02	9.71	4.54	3.54	0.00	15.20	12.93	7.17	17.18	10.19	8.99	11.26	14.76	7.65	15.78	12.44	13.30	10.72	0.00	9.31	11.98
ABT1	66.96	83.39	52.13	42.29	65.81	0.00	42.05	40.11	68.65	65.59	75.80	51.77	68.98	63.80	50.57	48.32	73.12	35.56	36.34	65.13	36.54	50.46
ABTB1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	1.30	0.60	3.00	0.00	1.41	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.22
ABTB2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACAA1	28.98	40.64	30.96	23.24	15.91	0.00	58.33	18.50	20.80	33.62	43.40	15.70	30.30	12.68	52.76	25.08	10.90	15.07	37.14	21.89	14.65	23.20
ACAA2	76.30	44.80	35.35	41.56	47.78	0.00	34.54	36.58	83.86	62.00	97.43	42.21	63.35	57.75	68.47	63.04	41.27	90.94	65.26	60.42	79.55	85.20
ACACA	5.24	3.43	2.77	2.68	2.16	0.00	0.49	2.07	2.40	3.40	8.19	4.74	5.30	1.48	6.39	3.17	2.93	3.21	2.27	4.15	2.01	2.45
ACACB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.02	0.16	0.00	0.00	0.00	0.00	0.04
ACAD10	4.42	0.65	0.99	0.18	2.50	0.00	1.57	0.69	0.75	4.51	0.47	2.97	0.90	0.00	0.23	1.62	2.68	0.64	4.24	0.00	1.33	2.16
ACAD11	0.00	0.27	0.00	0.00	1.37	0.00	0.00	0.66	0.08	0.00	0.00	5.03	2.54	1.93	0.00	5.63	0.00	0.00	0.00	0.00	2.05	2.21
ACAD8	13.35	17.05	2.99	18.39	19.05	0.00	2.68	6.06	11.76	17.60	10.96	15.79	10.05	8.16	11.23	20.10	13.91	12.66	7.55	11.08	14.47	13.80
ACAD9	1.72	5.28	8.80	10.46	3.42	0.00	8.67	4.36	1.40	8.33	8.56	4.25	4.27	1.51	1.19	9.69	18.78	7.26	27.46	14.77	3.86	8.14
ACADL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
